Series ID,Year,Period,Label,Value
Contra Costa,2000,M08,2000 Aug,3.7
Contra Costa,2000,M09,2000 Sep,3.4
Contra Costa,2000,M10,2000 Oct,3.2
Contra Costa,2000,M11,2000 Nov,3.2
Contra Costa,2000,M12,2000 Dec,3.0
Contra Costa,2001,M01,2001 Jan,3.7
Contra Costa,2001,M02,2001 Feb,3.5
Contra Costa,2001,M03,2001 Mar,3.7
Contra Costa,2001,M04,2001 Apr,3.5
Contra Costa,2001,M05,2001 May,3.4
Contra Costa,2001,M06,2001 Jun,4.1
Contra Costa,2001,M07,2001 Jul,4.3
Contra Costa,2001,M08,2001 Aug,4.5
Contra Costa,2001,M09,2001 Sep,4.3
Contra Costa,2001,M10,2001 Oct,4.6
Contra Costa,2001,M11,2001 Nov,4.8
Contra Costa,2001,M12,2001 Dec,4.6
Contra Costa,2002,M01,2002 Jan,5.5
Contra Costa,2002,M02,2002 Feb,5.4
Contra Costa,2002,M03,2002 Mar,5.7
Contra Costa,2002,M04,2002 Apr,5.5
Contra Costa,2002,M05,2002 May,5.4
Contra Costa,2002,M06,2002 Jun,6.0
Contra Costa,2002,M07,2002 Jul,6.2
Contra Costa,2002,M08,2002 Aug,6.1
Contra Costa,2002,M09,2002 Sep,5.8
Contra Costa,2002,M10,2002 Oct,5.8
Contra Costa,2002,M11,2002 Nov,5.9
Contra Costa,2002,M12,2002 Dec,5.8
Contra Costa,2003,M01,2003 Jan,6.3
Contra Costa,2003,M02,2003 Feb,6.2
Contra Costa,2003,M03,2003 Mar,6.3
Contra Costa,2003,M04,2003 Apr,6.1
Contra Costa,2003,M05,2003 May,6.0
Contra Costa,2003,M06,2003 Jun,6.8
Contra Costa,2003,M07,2003 Jul,6.6
Contra Costa,2003,M08,2003 Aug,6.3
Contra Costa,2003,M09,2003 Sep,6.0
Contra Costa,2003,M10,2003 Oct,5.9
Contra Costa,2003,M11,2003 Nov,5.9
Contra Costa,2003,M12,2003 Dec,5.5
Contra Costa,2004,M01,2004 Jan,6.1
Contra Costa,2004,M02,2004 Feb,5.8
Contra Costa,2004,M03,2004 Mar,6.1
Contra Costa,2004,M04,2004 Apr,5.5
Contra Costa,2004,M05,2004 May,5.2
Contra Costa,2004,M06,2004 Jun,5.7
Contra Costa,2004,M07,2004 Jul,5.7
Contra Costa,2004,M08,2004 Aug,5.3
Contra Costa,2004,M09,2004 Sep,5.0
Contra Costa,2004,M10,2004 Oct,5.0
Contra Costa,2004,M11,2004 Nov,5.1
